date,Open,High,Low,close,Adj Close,Volume,Dividends,Stock Splits
2025-06-03 00:00:00+09:00,656.0,656.0,646.0,648.0,648.0,7900,0.0,0.0
2025-06-04 00:00:00+09:00,654.0,655.0,649.0,649.0,649.0,7500,0.0,0.0
2025-06-05 00:00:00+09:00,652.0,652.0,640.0,640.0,640.0,11200,0.0,0.0
2025-06-06 00:00:00+09:00,642.0,653.0,632.0,643.0,643.0,19300,0.0,0.0
2025-06-09 00:00:00+09:00,649.0,650.0,645.0,646.0,646.0,7000,0.0,0.0
2025-06-10 00:00:00+09:00,653.0,659.0,650.0,650.0,650.0,13500,0.0,0.0
2025-06-11 00:00:00+09:00,651.0,672.0,651.0,665.0,665.0,23000,0.0,0.0
2025-06-12 00:00:00+09:00,665.0,665.0,655.0,665.0,665.0,11300,0.0,0.0
2025-06-13 00:00:00+09:00,664.0,664.0,646.0,646.0,646.0,15600,0.0,0.0
2025-06-16 00:00:00+09:00,644.0,652.0,639.0,644.0,644.0,8500,0.0,0.0
2025-06-17 00:00:00+09:00,648.0,653.0,645.0,652.0,652.0,7600,0.0,0.0
2025-06-18 00:00:00+09:00,656.0,661.0,647.0,660.0,660.0,19400,0.0,0.0
2025-06-19 00:00:00+09:00,660.0,660.0,655.0,656.0,656.0,15900,0.0,0.0
2025-06-20 00:00:00+09:00,656.0,660.0,654.0,660.0,660.0,6500,0.0,0.0
2025-06-23 00:00:00+09:00,659.0,659.0,649.0,657.0,657.0,5700,0.0,0.0
2025-06-24 00:00:00+09:00,660.0,664.0,659.0,664.0,664.0,8100,0.0,0.0
2025-06-25 00:00:00+09:00,661.0,667.0,653.0,663.0,663.0,13100,0.0,0.0
2025-06-26 00:00:00+09:00,663.0,665.0,657.0,662.0,662.0,13400,0.0,0.0
2025-06-27 00:00:00+09:00,663.0,683.0,657.0,675.0,675.0,74200,0.0,0.0
2025-06-30 00:00:00+09:00,671.0,681.0,664.0,668.0,668.0,21000,0.0,0.0
2025-07-01 00:00:00+09:00,670.0,692.0,669.0,683.0,683.0,28300,0.0,0.0
2025-07-02 00:00:00+09:00,685.0,685.0,670.0,678.0,678.0,8500,0.0,0.0
2025-07-03 00:00:00+09:00,679.0,697.0,674.0,677.0,677.0,18100,0.0,0.0
2025-07-04 00:00:00+09:00,687.0,714.0,680.0,699.0,699.0,65400,0.0,0.0
2025-07-07 00:00:00+09:00,700.0,724.0,686.0,707.0,707.0,54400,0.0,0.0
2025-07-08 00:00:00+09:00,707.0,714.0,695.0,700.0,700.0,28100,0.0,0.0
2025-07-09 00:00:00+09:00,709.0,728.0,700.0,723.0,723.0,57000,0.0,0.0
2025-07-10 00:00:00+09:00,722.0,740.0,710.0,739.0,739.0,63700,0.0,0.0
2025-07-11 00:00:00+09:00,765.0,825.0,765.0,807.0,807.0,367600,0.0,0.0
2025-07-14 00:00:00+09:00,837.0,837.0,759.0,792.0,792.0,252200,0.0,0.0
2025-07-15 00:00:00+09:00,790.0,791.0,753.0,755.0,755.0,67100,0.0,0.0
2025-07-16 00:00:00+09:00,747.0,786.0,746.0,775.0,775.0,62100,0.0,0.0
2025-07-17 00:00:00+09:00,778.0,779.0,757.0,763.0,763.0,38800,0.0,0.0
2025-07-18 00:00:00+09:00,766.0,766.0,743.0,750.0,750.0,37200,0.0,0.0
2025-07-22 00:00:00+09:00,755.0,764.0,750.0,752.0,752.0,40400,0.0,0.0
2025-07-23 00:00:00+09:00,759.0,777.0,759.0,766.0,766.0,49300,0.0,0.0
2025-07-24 00:00:00+09:00,770.0,777.0,757.0,767.0,767.0,53800,0.0,0.0
2025-07-25 00:00:00+09:00,777.0,789.0,770.0,786.0,786.0,53000,0.0,0.0
2025-07-28 00:00:00+09:00,860.0,880.0,836.0,867.0,867.0,342700,0.0,0.0
2025-07-29 00:00:00+09:00,856.0,867.0,815.0,831.0,831.0,120500,0.0,0.0
2025-07-30 00:00:00+09:00,826.0,860.0,826.0,845.0,845.0,84600,0.0,0.0
2025-07-31 00:00:00+09:00,856.0,857.0,835.0,845.0,845.0,72300,0.0,0.0
2025-08-01 00:00:00+09:00,845.0,846.0,836.0,839.0,839.0,45700,0.0,0.0
2025-08-04 00:00:00+09:00,830.0,839.0,818.0,834.0,834.0,46600,0.0,0.0
2025-08-05 00:00:00+09:00,832.0,835.0,820.0,820.0,820.0,55900,0.0,0.0
2025-08-06 00:00:00+09:00,831.0,866.0,828.0,863.0,863.0,84700,0.0,0.0
2025-08-07 00:00:00+09:00,863.0,863.0,835.0,840.0,840.0,59600,0.0,0.0
2025-08-08 00:00:00+09:00,839.0,850.0,824.0,828.0,828.0,48200,0.0,0.0
2025-08-12 00:00:00+09:00,853.0,877.0,846.0,848.0,848.0,134900,0.0,0.0
