date,close
2025-07-07 00:00:00+09:00,1755.0
2025-07-08 00:00:00+09:00,1790.0
2025-07-09 00:00:00+09:00,1983.0
2025-07-10 00:00:00+09:00,1815.0
2025-07-11 00:00:00+09:00,1768.0
2025-07-14 00:00:00+09:00,1760.0
2025-07-15 00:00:00+09:00,1720.0
2025-07-16 00:00:00+09:00,1761.0
2025-07-17 00:00:00+09:00,1730.0
2025-07-18 00:00:00+09:00,1699.0
2025-07-22 00:00:00+09:00,1676.0
2025-07-23 00:00:00+09:00,1754.0
2025-07-24 00:00:00+09:00,1820.0
2025-07-25 00:00:00+09:00,1800.0
2025-07-28 00:00:00+09:00,1792.0
2025-07-29 00:00:00+09:00,1682.0
2025-07-30 00:00:00+09:00,1691.0
2025-07-31 00:00:00+09:00,1677.0
2025-08-01 00:00:00+09:00,1680.0
2025-08-04 00:00:00+09:00,1677.0
2025-08-05 00:00:00+09:00,1752.0
2025-08-06 00:00:00+09:00,1894.0
2025-08-07 00:00:00+09:00,1806.0
2025-08-08 00:00:00+09:00,1887.0
2025-08-12 00:00:00+09:00,1791.0
2025-08-13 00:00:00+09:00,1917.0
2025-08-14 00:00:00+09:00,2032.0
2025-08-15 00:00:00+09:00,2007.0
2025-08-18 00:00:00+09:00,2240.0
2025-08-19 00:00:00+09:00,2150.0
2025-08-20 00:00:00+09:00,2001.0
2025-08-21 00:00:00+09:00,1937.0
2025-08-22 00:00:00+09:00,1919.0
2025-08-25 00:00:00+09:00,2017.0
2025-08-26 00:00:00+09:00,2085.0
2025-08-27 00:00:00+09:00,2055.0
2025-08-28 00:00:00+09:00,2170.0
2025-08-29 00:00:00+09:00,2154.0
2025-09-01 00:00:00+09:00,2231.0
2025-09-02 00:00:00+09:00,2210.0
2025-09-03 00:00:00+09:00,2112.0
2025-09-04 00:00:00+09:00,2084.0
2025-09-05 00:00:00+09:00,2245.0
2025-09-08 00:00:00+09:00,2416.0
2025-09-09 00:00:00+09:00,2360.0
2025-09-10 00:00:00+09:00,2350.0
2025-09-11 00:00:00+09:00,2347.0
2025-09-12 00:00:00+09:00,2274.0
2025-09-16 00:00:00+09:00,2502.0
2025-09-17 00:00:00+09:00,2290.0
2025-09-18 00:00:00+09:00,2472.0
2025-09-19 00:00:00+09:00,2635.0
2025-09-22 00:00:00+09:00,2692.0
2025-09-24 00:00:00+09:00,2722.0
2025-09-25 00:00:00+09:00,2635.0
2025-09-26 00:00:00+09:00,2631.0
2025-09-29 00:00:00+09:00,2550.0
2025-09-30 00:00:00+09:00,2563.0
2025-10-01 00:00:00+09:00,2401.0
2025-10-02 00:00:00+09:00,2392.0
2025-10-03 00:00:00+09:00,2416.0
2025-10-06 00:00:00+09:00,2395.0
2025-10-07 00:00:00+09:00,2311.0
2025-10-08 00:00:00+09:00,2150.0
2025-10-09 00:00:00+09:00,1899.0
2025-10-10 00:00:00+09:00,1717.0
2025-10-14 00:00:00+09:00,1748.0
2025-10-15 00:00:00+09:00,1722.0
2025-10-16 00:00:00+09:00,1811.0
2025-10-17 00:00:00+09:00,1717.0
2025-10-20 00:00:00+09:00,1908.0
2025-10-21 00:00:00+09:00,1805.0
2025-10-22 00:00:00+09:00,1855.0
2025-10-23 00:00:00+09:00,1753.0
2025-10-24 00:00:00+09:00,1790.0
2025-10-27 00:00:00+09:00,1908.0
2025-10-28 00:00:00+09:00,1850.0
2025-10-29 00:00:00+09:00,1797.0
2025-10-30 00:00:00+09:00,1787.0
2025-10-31 00:00:00+09:00,1805.0
2025-11-04 00:00:00+09:00,1785.0
2025-11-05 00:00:00+09:00,1761.0
2025-11-06 00:00:00+09:00,1710.0
2025-11-07 00:00:00+09:00,1647.0
2025-11-10 00:00:00+09:00,1704.0
2025-11-11 00:00:00+09:00,1642.0
2025-11-12 00:00:00+09:00,1659.0
2025-11-13 00:00:00+09:00,1632.0
2025-11-14 00:00:00+09:00,1585.0
2025-11-17 00:00:00+09:00,1550.0
2025-11-18 00:00:00+09:00,1430.0
2025-11-19 00:00:00+09:00,1327.0
2025-11-20 00:00:00+09:00,1332.0
2025-11-21 00:00:00+09:00,1376.0
2025-11-25 00:00:00+09:00,1228.0
2025-11-26 00:00:00+09:00,1341.0
2025-11-27 00:00:00+09:00,1343.0
2025-11-28 00:00:00+09:00,1398.0
2025-12-01 00:00:00+09:00,1449.0
2025-12-02 00:00:00+09:00,1441.0
2025-12-03 00:00:00+09:00,1368.0
2025-12-04 00:00:00+09:00,1404.0
2025-12-05 00:00:00+09:00,1341.0
2025-12-08 00:00:00+09:00,1440.0
2025-12-09 00:00:00+09:00,1396.0
2025-12-10 00:00:00+09:00,1210.0
2025-12-11 00:00:00+09:00,1123.0
2025-12-12 00:00:00+09:00,1262.0
2025-12-15 00:00:00+09:00,1246.0
2025-12-16 00:00:00+09:00,1203.0
2025-12-17 00:00:00+09:00,1142.0
2025-12-18 00:00:00+09:00,1078.0
2025-12-19 00:00:00+09:00,1119.0
2025-12-22 00:00:00+09:00,1225.0
2025-12-23 00:00:00+09:00,1190.0
2025-12-24 00:00:00+09:00,1180.0
2025-12-25 00:00:00+09:00,1207.0
2025-12-26 00:00:00+09:00,1262.0
2025-12-29 00:00:00+09:00,1325.0
2025-12-30 00:00:00+09:00,1244.0
2026-01-05 00:00:00+09:00,1245.0
2026-01-06 00:00:00+09:00,1237.0
2026-01-07 00:00:00+09:00,1537.0
2026-01-08 00:00:00+09:00,1570.0
2026-01-09 00:00:00+09:00,1480.0
2026-01-13 00:00:00+09:00,1468.0
2026-01-14 00:00:00+09:00,1434.0
2026-01-15 00:00:00+09:00,1505.0
2026-01-16 00:00:00+09:00,1535.0
2026-01-19 00:00:00+09:00,1582.0
2026-01-20 00:00:00+09:00,1497.0
2026-01-21 00:00:00+09:00,1457.0
2026-01-22 00:00:00+09:00,1444.0
2026-01-23 00:00:00+09:00,1482.0
2026-01-26 00:00:00+09:00,1488.0
2026-01-27 00:00:00+09:00,1487.0
2026-01-28 00:00:00+09:00,1441.0
2026-01-29 00:00:00+09:00,1400.0
2026-01-30 00:00:00+09:00,1400.0
2026-02-02 00:00:00+09:00,1400.0
2026-02-03 00:00:00+09:00,1458.0
2026-02-04 00:00:00+09:00,1437.0
2026-02-05 00:00:00+09:00,1382.0
2026-02-06 00:00:00+09:00,1411.0
2026-02-09 00:00:00+09:00,1406.0
2026-02-10 00:00:00+09:00,1412.0
2026-02-12 00:00:00+09:00,1445.0
2026-02-13 00:00:00+09:00,1381.0
2026-02-16 00:00:00+09:00,1363.0
2026-02-17 00:00:00+09:00,1313.0
2026-02-18 00:00:00+09:00,1371.0
2026-02-19 00:00:00+09:00,1388.0
2026-02-20 00:00:00+09:00,1398.0
2026-02-24 00:00:00+09:00,1385.0
2026-02-25 00:00:00+09:00,1420.0
2026-02-26 00:00:00+09:00,1429.0
2026-02-27 00:00:00+09:00,1519.0
2026-03-02 00:00:00+09:00,1554.0
2026-03-03 00:00:00+09:00,1428.0
2026-03-04 00:00:00+09:00,1308.0
2026-03-05 00:00:00+09:00,1390.0
2026-03-06 00:00:00+09:00,1517.0
2026-03-09 00:00:00+09:00,1541.0
2026-03-10 00:00:00+09:00,1616.0
2026-03-11 00:00:00+09:00,1748.0
2026-03-12 00:00:00+09:00,1612.0
2026-03-13 00:00:00+09:00,1570.0
2026-03-16 00:00:00+09:00,1553.0
2026-03-17 00:00:00+09:00,1540.0
2026-03-18 00:00:00+09:00,1570.0
2026-03-19 00:00:00+09:00,1492.0
2026-03-23 00:00:00+09:00,1318.0
2026-03-24 00:00:00+09:00,1384.0
2026-03-25 00:00:00+09:00,1469.0
2026-03-26 00:00:00+09:00,1435.0
2026-03-27 00:00:00+09:00,1446.0
2026-03-30 00:00:00+09:00,1495.0
2026-03-31 00:00:00+09:00,1439.0
2026-04-01 00:00:00+09:00,1499.0
2026-04-02 00:00:00+09:00,1385.0
2026-04-03 00:00:00+09:00,1385.0
2026-04-06 00:00:00+09:00,1388.0
2026-04-07 00:00:00+09:00,1380.0
2026-04-08 00:00:00+09:00,1388.0
2026-04-09 00:00:00+09:00,1337.0
2026-04-10 00:00:00+09:00,1303.0
2026-04-13 00:00:00+09:00,1287.0
2026-04-14 00:00:00+09:00,1276.0
2026-04-15 00:00:00+09:00,1196.0
2026-04-16 00:00:00+09:00,1186.0
2026-04-17 00:00:00+09:00,1200.0
2026-04-20 00:00:00+09:00,1245.0
2026-04-21 00:00:00+09:00,1242.0
2026-04-22 00:00:00+09:00,1380.0
2026-04-23 00:00:00+09:00,1315.0
2026-04-24 00:00:00+09:00,1385.0
2026-04-27 00:00:00+09:00,1350.0
2026-04-28 00:00:00+09:00,1395.0
2026-04-30 00:00:00+09:00,1342.0
2026-05-01 00:00:00+09:00,1431.0
