date,Open,High,Low,close,Adj Close,Volume,Dividends,Stock Splits
2025-06-24 00:00:00+09:00,403.0,405.0,393.0,395.0,389.36865234375,499100,0.0,0.0
2025-06-25 00:00:00+09:00,396.0,398.0,388.0,395.0,389.36865234375,276900,0.0,0.0
2025-06-26 00:00:00+09:00,396.0,401.0,383.0,384.0,378.52545166015625,433400,0.0,0.0
2025-06-27 00:00:00+09:00,387.0,399.0,385.0,385.0,379.5111999511719,344800,0.0,0.0
2025-06-30 00:00:00+09:00,393.0,403.0,391.0,394.0,388.3829040527344,495900,0.0,0.0
2025-07-01 00:00:00+09:00,395.0,397.0,385.0,387.0,381.4826965332031,367400,0.0,0.0
2025-07-02 00:00:00+09:00,382.0,382.0,371.0,372.0,366.696533203125,589800,0.0,0.0
2025-07-03 00:00:00+09:00,373.0,377.0,367.0,373.0,367.6822814941406,688400,0.0,0.0
2025-07-04 00:00:00+09:00,378.0,380.0,366.0,366.0,360.7820739746094,487900,0.0,0.0
2025-07-07 00:00:00+09:00,367.0,373.0,362.0,372.0,366.696533203125,473300,0.0,0.0
2025-07-08 00:00:00+09:00,368.0,371.0,363.0,369.0,363.73931884765625,358900,0.0,0.0
2025-07-09 00:00:00+09:00,371.0,373.0,365.0,368.0,362.7535705566406,196900,0.0,0.0
2025-07-10 00:00:00+09:00,371.0,371.0,363.0,369.0,363.73931884765625,300600,0.0,0.0
2025-07-11 00:00:00+09:00,370.0,371.0,360.0,361.0,355.8533630371094,375200,0.0,0.0
2025-07-14 00:00:00+09:00,361.0,367.0,359.0,359.0,353.88189697265625,467900,0.0,0.0
2025-07-15 00:00:00+09:00,363.0,366.0,358.0,360.0,354.86761474609375,361600,0.0,0.0
2025-07-16 00:00:00+09:00,360.0,364.0,359.0,359.0,353.88189697265625,212000,0.0,0.0
2025-07-17 00:00:00+09:00,358.0,362.0,357.0,358.0,352.8961486816406,261900,0.0,0.0
2025-07-18 00:00:00+09:00,362.0,367.0,357.0,357.0,351.910400390625,407700,0.0,0.0
2025-07-22 00:00:00+09:00,360.0,364.0,356.0,356.0,350.9246520996094,245100,0.0,0.0
2025-07-23 00:00:00+09:00,358.0,359.0,354.0,355.0,349.93890380859375,387500,0.0,0.0
2025-07-24 00:00:00+09:00,359.0,360.0,356.0,356.0,350.9246520996094,260100,0.0,0.0
2025-07-25 00:00:00+09:00,357.0,365.0,355.0,362.0,356.839111328125,293300,0.0,0.0
2025-07-28 00:00:00+09:00,368.0,369.0,363.0,365.0,359.7963562011719,471800,0.0,0.0
2025-07-29 00:00:00+09:00,364.0,364.0,350.0,351.0,345.9959411621094,508600,0.0,0.0
2025-07-30 00:00:00+09:00,352.0,356.0,351.0,353.0,347.9674072265625,176800,0.0,0.0
2025-07-31 00:00:00+09:00,354.0,356.0,352.0,355.0,349.93890380859375,117300,0.0,0.0
2025-08-01 00:00:00+09:00,355.0,358.0,352.0,353.0,347.9674072265625,186200,0.0,0.0
2025-08-04 00:00:00+09:00,345.0,349.0,342.0,348.0,343.0386962890625,329300,0.0,0.0
2025-08-05 00:00:00+09:00,350.0,358.0,350.0,356.0,350.9246520996094,264300,0.0,0.0
2025-08-06 00:00:00+09:00,357.0,360.0,355.0,356.0,350.9246520996094,167500,0.0,0.0
2025-08-07 00:00:00+09:00,355.0,364.0,355.0,364.0,358.81060791015625,222900,0.0,0.0
2025-08-08 00:00:00+09:00,362.0,363.0,359.0,360.0,354.86761474609375,233400,0.0,0.0
2025-08-12 00:00:00+09:00,372.0,392.0,371.0,378.0,372.6109924316406,1551300,0.0,0.0
2025-08-13 00:00:00+09:00,381.0,395.0,380.0,394.0,388.3829040527344,754600,0.0,0.0
2025-08-14 00:00:00+09:00,394.0,401.0,390.0,401.0,395.2831115722656,689900,0.0,0.0
2025-08-15 00:00:00+09:00,402.0,403.0,395.0,398.0,392.32586669921875,334500,0.0,0.0
2025-08-18 00:00:00+09:00,395.0,405.0,392.0,401.0,395.2831115722656,340600,0.0,0.0
2025-08-19 00:00:00+09:00,402.0,411.0,401.0,410.0,404.15478515625,640500,0.0,0.0
2025-08-20 00:00:00+09:00,408.0,416.0,400.0,416.0,410.0692443847656,394600,0.0,0.0
2025-08-21 00:00:00+09:00,409.0,422.0,406.0,422.0,415.98370361328125,477500,0.0,0.0
2025-08-22 00:00:00+09:00,422.0,422.0,411.0,415.0,409.0835266113281,250600,0.0,0.0
2025-08-25 00:00:00+09:00,417.0,422.0,413.0,417.0,411.05499267578125,318400,0.0,0.0
2025-08-26 00:00:00+09:00,415.0,417.0,402.0,406.0,400.2118225097656,251900,0.0,0.0
2025-08-27 00:00:00+09:00,405.0,406.0,390.0,397.0,391.3401184082031,425600,0.0,0.0
2025-08-28 00:00:00+09:00,399.0,404.0,396.0,398.0,392.32586669921875,165600,0.0,0.0
2025-08-29 00:00:00+09:00,395.0,406.0,395.0,398.0,392.32586669921875,153100,0.0,0.0
2025-09-01 00:00:00+09:00,396.0,405.0,393.0,401.0,395.2831115722656,188400,0.0,0.0
2025-09-02 00:00:00+09:00,405.0,415.0,404.0,405.0,399.22607421875,202000,0.0,0.0
2025-09-03 00:00:00+09:00,405.0,406.0,399.0,399.0,393.3116149902344,109800,0.0,0.0
2025-09-04 00:00:00+09:00,402.0,408.0,397.0,406.0,400.2118225097656,133800,0.0,0.0
2025-09-05 00:00:00+09:00,409.0,415.0,404.0,415.0,409.0835266113281,172500,0.0,0.0
2025-09-08 00:00:00+09:00,420.0,431.0,419.0,428.0,421.8981628417969,479900,0.0,0.0
2025-09-09 00:00:00+09:00,436.0,444.0,426.0,432.0,425.8411560058594,545000,0.0,0.0
2025-09-10 00:00:00+09:00,437.0,437.0,412.0,413.0,407.1120300292969,405000,0.0,0.0
2025-09-11 00:00:00+09:00,418.0,419.0,413.0,413.0,407.1120300292969,171200,0.0,0.0
2025-09-12 00:00:00+09:00,415.0,415.0,405.0,408.0,402.1833190917969,281200,0.0,0.0
2025-09-16 00:00:00+09:00,408.0,415.0,404.0,410.0,404.15478515625,193000,0.0,0.0
2025-09-17 00:00:00+09:00,410.0,410.0,400.0,401.0,395.2831115722656,212500,0.0,0.0
2025-09-18 00:00:00+09:00,406.0,413.0,403.0,413.0,407.1120300292969,251300,0.0,0.0
2025-09-19 00:00:00+09:00,418.0,428.0,409.0,428.0,421.8981628417969,516500,0.0,0.0
2025-09-22 00:00:00+09:00,428.0,436.0,424.0,430.0,423.8696594238281,298900,0.0,0.0
2025-09-24 00:00:00+09:00,435.0,455.0,424.0,428.0,421.8981628417969,962400,0.0,0.0
2025-09-25 00:00:00+09:00,427.0,427.0,412.0,413.0,407.1120300292969,284400,0.0,0.0
2025-09-26 00:00:00+09:00,413.0,425.0,413.0,418.0,412.0407409667969,197700,0.0,0.0
2025-09-29 00:00:00+09:00,421.0,421.0,412.0,414.0,408.0977783203125,113600,0.0,0.0
2025-09-30 00:00:00+09:00,422.0,425.0,412.0,425.0,418.9409484863281,214500,0.0,0.0
2025-10-01 00:00:00+09:00,454.0,464.0,441.0,441.0,434.71282958984375,1204500,0.0,0.0
2025-10-02 00:00:00+09:00,442.0,446.0,425.0,432.0,425.8411560058594,503500,0.0,0.0
2025-10-03 00:00:00+09:00,426.0,442.0,426.0,442.0,435.6985778808594,270600,0.0,0.0
2025-10-06 00:00:00+09:00,478.0,479.0,463.0,467.0,460.3421630859375,678500,0.0,0.0
2025-10-07 00:00:00+09:00,471.0,475.0,456.0,472.0,465.2708740234375,370400,0.0,0.0
2025-10-08 00:00:00+09:00,472.0,475.0,464.0,472.0,465.2708740234375,344100,0.0,0.0
2025-10-09 00:00:00+09:00,475.0,475.0,461.0,464.0,457.38494873046875,317700,0.0,0.0
2025-10-10 00:00:00+09:00,458.0,460.0,444.0,444.0,437.6700744628906,290400,0.0,0.0
2025-10-14 00:00:00+09:00,434.0,443.0,423.0,426.0,419.92669677734375,449000,0.0,0.0
2025-10-15 00:00:00+09:00,431.0,448.0,431.0,448.0,441.613037109375,201300,0.0,0.0
2025-10-16 00:00:00+09:00,456.0,468.0,455.0,460.0,453.44195556640625,167400,0.0,0.0
2025-10-17 00:00:00+09:00,456.0,464.0,454.0,455.0,448.51324462890625,175500,0.0,0.0
2025-10-20 00:00:00+09:00,465.0,488.0,461.0,486.0,479.0712890625,609600,0.0,0.0
2025-10-21 00:00:00+09:00,491.0,494.0,471.0,475.0,468.2281188964844,472600,0.0,0.0
2025-10-22 00:00:00+09:00,482.0,512.0,474.0,511.0,503.7148742675781,662700,0.0,0.0
2025-10-23 00:00:00+09:00,527.0,609.0,518.0,541.0,533.2871704101562,6982200,0.0,0.0
2025-10-24 00:00:00+09:00,565.0,585.0,547.0,559.0,551.0305786132812,3092400,0.0,0.0
2025-10-27 00:00:00+09:00,612.0,623.0,572.0,617.0,608.2036743164062,3247200,0.0,0.0
2025-10-28 00:00:00+09:00,617.0,622.0,564.0,564.0,555.9592895507812,2389600,0.0,0.0
2025-10-29 00:00:00+09:00,572.0,577.0,537.0,545.0,537.2301635742188,1215600,0.0,0.0
2025-10-30 00:00:00+09:00,532.0,570.0,522.0,570.0,561.8737182617188,1022900,0.0,0.0
2025-10-31 00:00:00+09:00,563.0,563.0,537.0,549.0,541.1731567382812,689100,0.0,0.0
2025-11-04 00:00:00+09:00,559.0,573.0,547.0,550.0,542.1588745117188,757800,0.0,0.0
2025-11-05 00:00:00+09:00,545.0,546.0,509.0,535.0,527.3727416992188,766000,0.0,0.0
2025-11-06 00:00:00+09:00,545.0,550.0,533.0,548.0,540.1873779296875,444400,0.0,0.0
2025-11-07 00:00:00+09:00,536.0,543.0,522.0,533.0,525.4012451171875,268800,0.0,0.0
2025-11-10 00:00:00+09:00,533.0,555.0,527.0,542.0,534.27294921875,567000,0.0,0.0
2025-11-11 00:00:00+09:00,476.0,484.0,455.0,473.0,466.2566223144531,1435200,0.0,0.0
2025-11-12 00:00:00+09:00,476.0,498.0,471.0,490.0,483.0142822265625,545500,0.0,0.0
2025-11-13 00:00:00+09:00,490.0,498.0,483.0,489.0,482.0285339355469,257500,0.0,0.0
2025-11-14 00:00:00+09:00,481.0,484.0,466.0,467.0,460.3421630859375,341400,0.0,0.0
2025-11-17 00:00:00+09:00,465.0,478.0,463.0,470.0,463.2994079589844,280500,0.0,0.0
2025-11-18 00:00:00+09:00,465.0,465.0,444.0,450.0,443.58453369140625,355300,0.0,0.0
2025-11-19 00:00:00+09:00,450.0,452.0,434.0,444.0,437.6700744628906,396600,0.0,0.0
2025-11-20 00:00:00+09:00,450.0,453.0,428.0,428.0,421.8981628417969,423000,0.0,0.0
2025-11-21 00:00:00+09:00,420.0,429.0,417.0,429.0,422.8839111328125,278300,0.0,0.0
2025-11-25 00:00:00+09:00,429.0,430.0,411.0,415.0,409.0835266113281,369700,0.0,0.0
2025-11-26 00:00:00+09:00,415.0,422.0,415.0,420.0,414.0122375488281,198000,0.0,0.0
2025-11-27 00:00:00+09:00,420.0,435.0,419.0,435.0,428.7983703613281,407300,0.0,0.0
2025-11-28 00:00:00+09:00,433.0,446.0,432.0,441.0,434.71282958984375,240900,0.0,0.0
2025-12-01 00:00:00+09:00,446.0,447.0,429.0,429.0,422.8839111328125,217600,0.0,0.0
2025-12-02 00:00:00+09:00,430.0,433.0,420.0,420.0,414.0122375488281,189200,0.0,0.0
2025-12-03 00:00:00+09:00,421.0,434.0,418.0,434.0,427.8126220703125,161300,0.0,0.0
2025-12-04 00:00:00+09:00,434.0,436.0,428.0,433.0,426.826904296875,146100,0.0,0.0
2025-12-05 00:00:00+09:00,434.0,442.0,432.0,435.0,428.7983703613281,154400,0.0,0.0
2025-12-08 00:00:00+09:00,443.0,452.0,439.0,441.0,434.71282958984375,339900,0.0,0.0
2025-12-09 00:00:00+09:00,449.0,456.0,435.0,437.0,430.7698669433594,402000,0.0,0.0
2025-12-10 00:00:00+09:00,442.0,446.0,430.0,433.0,426.826904296875,220100,0.0,0.0
2025-12-11 00:00:00+09:00,432.0,432.0,421.0,423.0,416.9694519042969,179600,0.0,0.0
2025-12-12 00:00:00+09:00,428.0,432.0,425.0,429.0,422.8839111328125,118700,0.0,0.0
2025-12-15 00:00:00+09:00,427.0,440.0,424.0,438.0,431.755615234375,172700,0.0,0.0
2025-12-16 00:00:00+09:00,441.0,441.0,426.0,429.0,422.8839111328125,148100,0.0,0.0
2025-12-17 00:00:00+09:00,430.0,430.0,417.0,423.0,416.9694519042969,229800,0.0,0.0
2025-12-18 00:00:00+09:00,417.0,421.0,413.0,417.0,411.05499267578125,189900,0.0,0.0
2025-12-19 00:00:00+09:00,417.0,434.0,417.0,431.0,424.85540771484375,246000,0.0,0.0
2025-12-22 00:00:00+09:00,447.0,453.0,442.0,449.0,442.5987854003906,569100,0.0,0.0
2025-12-23 00:00:00+09:00,450.0,478.0,449.0,473.0,466.2566223144531,730300,0.0,0.0
2025-12-24 00:00:00+09:00,475.0,477.0,455.0,459.0,452.4562072753906,502100,0.0,0.0
2025-12-25 00:00:00+09:00,461.0,461.0,450.0,454.0,447.5274963378906,309800,0.0,0.0
2025-12-26 00:00:00+09:00,450.0,454.0,446.0,451.0,444.5702819824219,285800,0.0,0.0
2025-12-29 00:00:00+09:00,451.0,461.0,447.0,459.0,452.4562072753906,257200,0.0,0.0
2025-12-30 00:00:00+09:00,459.0,461.0,449.0,449.0,442.5987854003906,178300,0.0,0.0
2026-01-05 00:00:00+09:00,460.0,469.0,455.0,455.0,448.51324462890625,429600,0.0,0.0
2026-01-06 00:00:00+09:00,460.0,468.0,458.0,461.0,454.4277038574219,336100,0.0,0.0
2026-01-07 00:00:00+09:00,469.0,505.0,462.0,483.0,476.11407470703125,1328200,0.0,0.0
2026-01-08 00:00:00+09:00,499.0,511.0,491.0,507.0,499.77191162109375,1176000,0.0,0.0
2026-01-09 00:00:00+09:00,522.0,539.0,507.0,511.0,503.7148742675781,1184600,0.0,0.0
2026-01-13 00:00:00+09:00,531.0,531.0,507.0,514.0,506.672119140625,719500,0.0,0.0
2026-01-14 00:00:00+09:00,515.0,525.0,508.0,516.0,508.6435852050781,429300,0.0,0.0
2026-01-15 00:00:00+09:00,513.0,530.0,508.0,526.0,518.5010375976562,538300,0.0,0.0
2026-01-16 00:00:00+09:00,533.0,535.0,514.0,527.0,519.4867553710938,455200,0.0,0.0
2026-01-19 00:00:00+09:00,527.0,540.0,521.0,540.0,532.3014526367188,489400,0.0,0.0
2026-01-20 00:00:00+09:00,544.0,545.0,520.0,526.0,518.5010375976562,383700,0.0,0.0
2026-01-21 00:00:00+09:00,513.0,526.0,505.0,515.0,507.6578674316406,463600,0.0,0.0
2026-01-22 00:00:00+09:00,519.0,530.0,515.0,525.0,517.5152587890625,281200,0.0,0.0
2026-01-23 00:00:00+09:00,528.0,535.0,517.0,524.0,516.529541015625,403000,0.0,0.0
2026-01-26 00:00:00+09:00,516.0,519.0,505.0,509.0,501.7433776855469,273700,0.0,0.0
2026-01-27 00:00:00+09:00,506.0,508.0,501.0,505.0,497.8004150390625,161600,0.0,0.0
2026-01-28 00:00:00+09:00,501.0,503.0,490.0,493.0,485.97149658203125,232300,0.0,0.0
2026-01-29 00:00:00+09:00,493.0,506.0,489.0,506.0,498.7861633300781,216800,0.0,0.0
2026-01-30 00:00:00+09:00,508.0,511.0,498.0,505.0,497.8004150390625,231200,0.0,0.0
2026-02-02 00:00:00+09:00,508.0,529.0,506.0,514.0,506.672119140625,377300,0.0,0.0
2026-02-03 00:00:00+09:00,519.0,525.0,516.0,517.0,509.62933349609375,155000,0.0,0.0
2026-02-04 00:00:00+09:00,524.0,528.0,521.0,525.0,517.5152587890625,231200,0.0,0.0
2026-02-05 00:00:00+09:00,528.0,550.0,525.0,549.0,541.1731567382812,552200,0.0,0.0
2026-02-06 00:00:00+09:00,551.0,583.0,546.0,579.0,570.7454223632812,948200,0.0,0.0
2026-02-09 00:00:00+09:00,623.0,623.0,570.0,578.0,569.7597045898438,1085500,0.0,0.0
2026-02-10 00:00:00+09:00,548.0,565.0,538.0,561.0,553.0020751953125,971400,0.0,0.0
2026-02-12 00:00:00+09:00,563.0,565.0,532.0,537.0,529.3441772460938,667800,0.0,0.0
2026-02-13 00:00:00+09:00,531.0,539.0,521.0,524.0,516.529541015625,397700,0.0,0.0
2026-02-16 00:00:00+09:00,529.0,554.0,524.0,548.0,540.1873779296875,428100,0.0,0.0
2026-02-17 00:00:00+09:00,549.0,557.0,533.0,550.0,542.1588745117188,374200,0.0,0.0
2026-02-18 00:00:00+09:00,552.0,579.0,552.0,569.0,560.8880004882812,486600,0.0,0.0
2026-02-19 00:00:00+09:00,579.0,580.0,556.0,562.0,553.98779296875,273300,0.0,0.0
2026-02-20 00:00:00+09:00,561.0,570.0,551.0,553.0,545.1160888671875,253100,0.0,0.0
2026-02-24 00:00:00+09:00,550.0,550.0,535.0,545.0,537.2301635742188,224600,0.0,0.0
2026-02-25 00:00:00+09:00,545.0,562.0,537.0,540.0,532.3014526367188,306600,0.0,0.0
2026-02-26 00:00:00+09:00,543.0,554.0,539.0,547.0,539.20166015625,169900,0.0,0.0
2026-02-27 00:00:00+09:00,553.0,572.0,548.0,570.0,561.8737182617188,329700,0.0,0.0
2026-03-02 00:00:00+09:00,590.0,595.0,553.0,554.0,546.1018676757812,777700,0.0,0.0
2026-03-03 00:00:00+09:00,557.0,573.0,544.0,544.0,536.244384765625,508900,0.0,0.0
2026-03-04 00:00:00+09:00,515.0,530.0,484.0,495.0,487.9429931640625,661800,0.0,0.0
2026-03-05 00:00:00+09:00,515.0,547.0,514.0,544.0,536.244384765625,475200,0.0,0.0
2026-03-06 00:00:00+09:00,534.0,545.0,524.0,543.0,535.2586669921875,241600,0.0,0.0
2026-03-09 00:00:00+09:00,516.0,516.0,495.0,514.0,506.672119140625,395500,0.0,0.0
2026-03-10 00:00:00+09:00,526.0,541.0,522.0,537.0,529.3441772460938,195400,0.0,0.0
2026-03-11 00:00:00+09:00,542.0,557.0,537.0,549.0,541.1731567382812,265600,0.0,0.0
2026-03-12 00:00:00+09:00,539.0,540.0,524.0,525.0,517.5152587890625,209400,0.0,0.0
2026-03-13 00:00:00+09:00,516.0,534.0,513.0,523.0,515.5438232421875,221700,0.0,0.0
2026-03-16 00:00:00+09:00,520.0,526.0,514.0,523.0,515.5438232421875,145500,0.0,0.0
2026-03-17 00:00:00+09:00,528.0,534.0,509.0,512.0,504.70062255859375,250400,0.0,0.0
2026-03-18 00:00:00+09:00,521.0,531.0,518.0,527.0,519.4867553710938,267800,0.0,0.0
2026-03-19 00:00:00+09:00,509.0,514.0,501.0,501.0,493.8574523925781,268900,0.0,0.0
2026-03-23 00:00:00+09:00,488.0,488.0,468.0,469.0,462.31365966796875,350500,0.0,0.0
2026-03-24 00:00:00+09:00,487.0,494.0,476.0,485.0,478.0855407714844,180500,0.0,0.0
2026-03-25 00:00:00+09:00,498.0,509.0,497.0,503.0,495.82891845703125,130600,0.0,0.0
2026-03-26 00:00:00+09:00,503.0,510.0,487.0,491.0,484.0,136500,0.0,0.0
2026-03-27 00:00:00+09:00,486.0,495.0,483.0,491.0,484.0,82800,0.0,0.0
2026-03-30 00:00:00+09:00,468.0,475.0,457.0,468.0,468.0,236600,7.0,0.0
2026-03-31 00:00:00+09:00,468.0,476.0,459.0,464.0,464.0,148000,0.0,0.0
2026-04-01 00:00:00+09:00,474.0,484.0,473.0,484.0,484.0,128900,0.0,0.0
2026-04-02 00:00:00+09:00,490.0,498.0,477.0,482.0,482.0,176800,0.0,0.0
2026-04-03 00:00:00+09:00,491.0,494.0,484.0,487.0,487.0,99300,0.0,0.0
