date,Open,High,Low,value,Adj Close,Volume,Dividends,Stock Splits
2025-10-21 00:00:00-04:00,4332.7001953125,4332.7001953125,4087.699951171875,4087.699951171875,4087.699951171875,2943,0.0,0.0
2025-10-22 00:00:00-04:00,4109.7001953125,4148.5,4006.0,4044.39990234375,4044.39990234375,1237,0.0,0.0
2025-10-23 00:00:00-04:00,4078.39990234375,4136.7998046875,4070.699951171875,4125.5,4125.5,354,0.0,0.0
2025-10-24 00:00:00-04:00,4117.5,4120.60009765625,4074.89990234375,4118.39990234375,4118.39990234375,123,0.0,0.0
2025-10-27 00:00:00-04:00,4060.0,4078.60009765625,3971.300048828125,4001.89990234375,4001.89990234375,220,0.0,0.0
2025-10-28 00:00:00-04:00,3929.699951171875,3966.199951171875,3923.60009765625,3966.199951171875,3966.199951171875,219,0.0,0.0
2025-10-29 00:00:00-04:00,3983.699951171875,3983.699951171875,3983.699951171875,3983.699951171875,3983.699951171875,1344,0.0,0.0
2025-10-30 00:00:00-04:00,3960.0,4027.199951171875,3913.699951171875,4001.300048828125,4001.300048828125,935,0.0,0.0
2025-10-31 00:00:00-04:00,4034.5,4034.5,3976.60009765625,3982.199951171875,3982.199951171875,559,0.0,0.0
2025-11-03 00:00:00-05:00,3976.199951171875,4020.0,3959.0,4000.300048828125,4000.300048828125,0,0.0,0.0
2025-11-04 00:00:00-05:00,3994.199951171875,3995.39990234375,3927.39990234375,3947.699951171875,3947.699951171875,657,0.0,0.0
2025-11-05 00:00:00-05:00,3929.89990234375,3983.5,3929.89990234375,3980.300048828125,3980.300048828125,559,0.0,0.0
2025-11-06 00:00:00-05:00,4004.0,4007.5,3979.89990234375,3979.89990234375,3979.89990234375,650,0.0,0.0
2025-11-07 00:00:00-05:00,3980.800048828125,3999.39990234375,3980.800048828125,3999.39990234375,3999.39990234375,245,0.0,0.0
2025-11-10 00:00:00-05:00,4060.0,4111.7998046875,4060.0,4111.7998046875,4111.7998046875,189,0.0,0.0
2025-11-11 00:00:00-05:00,4140.10009765625,4140.10009765625,4106.7998046875,4106.7998046875,4106.7998046875,569,0.0,0.0
2025-11-12 00:00:00-05:00,4115.60009765625,4204.39990234375,4102.89990234375,4204.39990234375,4204.39990234375,396,0.0,0.0
2025-11-13 00:00:00-05:00,4228.7001953125,4228.7001953125,4163.7001953125,4186.89990234375,4186.89990234375,167,0.0,0.0
2025-11-14 00:00:00-05:00,4197.7001953125,4197.89990234375,4047.0,4087.60009765625,4087.60009765625,483,0.0,0.0
2025-11-17 00:00:00-05:00,4070.0,4099.5,4019.39990234375,4068.300048828125,4068.300048828125,1552,0.0,0.0
2025-11-18 00:00:00-05:00,4037.39990234375,4063.39990234375,4035.60009765625,4061.300048828125,4061.300048828125,1375,0.0,0.0
2025-11-19 00:00:00-05:00,4086.10009765625,4122.7001953125,4072.0,4077.699951171875,4077.699951171875,486,0.0,0.0
2025-11-20 00:00:00-05:00,4045.0,4090.39990234375,4040.199951171875,4056.5,4056.5,202,0.0,0.0
2025-11-21 00:00:00-05:00,4031.800048828125,4085.199951171875,4031.800048828125,4076.699951171875,4076.699951171875,171,0.0,0.0
2025-11-24 00:00:00-05:00,4060.5,4091.89990234375,4060.5,4091.89990234375,4091.89990234375,591,0.0,0.0
2025-11-25 00:00:00-05:00,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,132704,0.0,0.0
2025-11-26 00:00:00-05:00,4128.60009765625,4171.0,4127.5,4165.2001953125,4165.2001953125,25088,0.0,0.0
2025-11-28 00:00:00-05:00,4163.39990234375,4223.89990234375,4140.0,4218.2998046875,4218.2998046875,3615,0.0,0.0
2025-12-01 00:00:00-05:00,4218.5,4262.10009765625,4214.89990234375,4239.2998046875,4239.2998046875,913,0.0,0.0
2025-12-02 00:00:00-05:00,4230.5,4230.5,4167.0,4186.60009765625,4186.60009765625,366,0.0,0.0
2025-12-03 00:00:00-05:00,4215.7001953125,4234.10009765625,4195.7001953125,4199.2998046875,4199.2998046875,1897,0.0,0.0
2025-12-04 00:00:00-05:00,4211.0,4211.7998046875,4175.0,4211.7998046875,4211.7998046875,616,0.0,0.0
2025-12-05 00:00:00-05:00,4204.10009765625,4255.7001953125,4194.5,4212.89990234375,4212.89990234375,533,0.0,0.0
2025-12-08 00:00:00-05:00,4205.5,4215.7998046875,4175.5,4187.2001953125,4187.2001953125,318,0.0,0.0
2025-12-09 00:00:00-05:00,4190.7001953125,4219.7001953125,4177.7001953125,4206.7001953125,4206.7001953125,660,0.0,0.0
2025-12-10 00:00:00-05:00,4209.0,4234.5,4183.60009765625,4196.39990234375,4196.39990234375,692,0.0,0.0
2025-12-11 00:00:00-05:00,4224.0,4286.89990234375,4214.2998046875,4285.5,4285.5,528,0.0,0.0
2025-12-12 00:00:00-05:00,4276.39990234375,4355.0,4260.0,4300.10009765625,4300.10009765625,1531,0.0,0.0
2025-12-15 00:00:00-05:00,4308.2998046875,4349.2001953125,4292.89990234375,4306.7001953125,4306.7001953125,854,0.0,0.0
2025-12-16 00:00:00-05:00,4270.5,4321.39990234375,4270.5,4304.5,4304.5,1796,0.0,0.0
2025-12-17 00:00:00-05:00,4308.5,4351.39990234375,4308.5,4347.5,4347.5,2169,0.0,0.0
2025-12-18 00:00:00-05:00,4331.0,4348.10009765625,4328.2001953125,4339.5,4339.5,705,0.0,0.0
2025-12-19 00:00:00-05:00,4350.10009765625,4361.39990234375,4350.10009765625,4361.39990234375,4361.39990234375,1065,0.0,0.0
2025-12-22 00:00:00-05:00,4371.10009765625,4447.60009765625,4371.10009765625,4444.60009765625,4444.60009765625,449,0.0,0.0
2025-12-23 00:00:00-05:00,4503.2998046875,4503.7998046875,4450.39990234375,4482.7998046875,4482.7998046875,694,0.0,0.0
2025-12-24 00:00:00-05:00,4500.7001953125,4503.39990234375,4468.39990234375,4480.60009765625,4480.60009765625,500,0.0,0.0
2025-12-26 00:00:00-05:00,4512.0,4556.2998046875,4502.0,4529.10009765625,4529.10009765625,263,0.0,0.0
2025-12-29 00:00:00-05:00,4371.5,4379.0,4325.10009765625,4325.10009765625,4325.10009765625,2044,0.0,0.0
2025-12-30 00:00:00-05:00,4346.39990234375,4403.60009765625,4338.0,4370.10009765625,4370.10009765625,1837,0.0,0.0
2025-12-31 00:00:00-05:00,4333.5,4363.7998046875,4285.0,4325.60009765625,4325.60009765625,785,0.0,0.0
2026-01-02 00:00:00-05:00,4350.60009765625,4350.60009765625,4314.39990234375,4314.39990234375,4314.39990234375,589,0.0,0.0
2026-01-05 00:00:00-05:00,4386.7001953125,4443.5,4384.7998046875,4436.89990234375,4436.89990234375,618,0.0,0.0
2026-01-06 00:00:00-05:00,4449.7001953125,4482.2001953125,4449.0,4482.2001953125,4482.2001953125,459,0.0,0.0
2026-01-07 00:00:00-05:00,4450.0,4450.0,4449.2998046875,4449.2998046875,4449.2998046875,972,0.0,0.0
2026-01-08 00:00:00-05:00,4460.2001953125,4461.2998046875,4418.0,4449.7001953125,4449.7001953125,2423,0.0,0.0
2026-01-09 00:00:00-05:00,4473.0,4490.2998046875,4473.0,4490.2998046875,4490.2998046875,237,0.0,0.0
2026-01-12 00:00:00-05:00,4579.10009765625,4620.0,4577.7998046875,4604.2998046875,4604.2998046875,156,0.0,0.0
2026-01-13 00:00:00-05:00,4578.60009765625,4617.10009765625,4578.60009765625,4589.2001953125,4589.2001953125,239,0.0,0.0
2026-01-14 00:00:00-05:00,4610.2998046875,4635.0,4608.2001953125,4626.2998046875,4626.2998046875,1313,0.0,0.0
2026-01-15 00:00:00-05:00,4612.89990234375,4616.2998046875,4612.89990234375,4616.2998046875,4616.2998046875,4358,0.0,0.0
2026-01-16 00:00:00-05:00,4608.0,4608.0,4588.39990234375,4588.39990234375,4588.39990234375,352,0.0,0.0
2026-01-20 00:00:00-05:00,4662.2001953125,4764.0,4661.7998046875,4759.60009765625,4759.60009765625,175,0.0,0.0
2026-01-21 00:00:00-05:00,4863.5,4872.2998046875,4771.5,4831.7998046875,4831.7998046875,1706,0.0,0.0
2026-01-22 00:00:00-05:00,4791.89990234375,4908.7998046875,4791.89990234375,4908.7998046875,4908.7998046875,1175,0.0,0.0
2026-01-23 00:00:00-05:00,4949.60009765625,4976.2001953125,4936.0,4976.2001953125,4976.2001953125,169,0.0,0.0
2026-01-26 00:00:00-05:00,5081.5,5095.60009765625,5052.2001953125,5079.7001953125,5079.7001953125,180,0.0,0.0
2026-01-27 00:00:00-05:00,5079.89990234375,5079.89990234375,5079.89990234375,5079.89990234375,5079.89990234375,34,0.0,0.0
2026-01-28 00:00:00-05:00,5301.60009765625,5301.60009765625,5301.60009765625,5301.60009765625,5301.60009765625,112054,0.0,0.0
2026-01-29 00:00:00-05:00,5415.7001953125,5586.2001953125,5097.5,5318.39990234375,5318.39990234375,23709,0.0,0.0
2026-01-30 00:00:00-05:00,5376.39990234375,5440.5,4700.0,4713.89990234375,4713.89990234375,8374,0.0,0.0
2026-02-02 00:00:00-05:00,4807.7001953125,4855.7998046875,4400.0,4622.5,4622.5,3588,0.0,0.0
2026-02-03 00:00:00-05:00,4680.0,4984.60009765625,4674.2998046875,4903.7001953125,4903.7001953125,1213,0.0,0.0
2026-02-04 00:00:00-05:00,4923.2998046875,5082.2001953125,4897.89990234375,4920.39990234375,4920.39990234375,3886,0.0,0.0
2026-02-05 00:00:00-05:00,5008.7001953125,5012.2998046875,4786.0,4861.39990234375,4861.39990234375,793,0.0,0.0
2026-02-06 00:00:00-05:00,4762.0,4958.5,4655.0,4951.2001953125,4951.2001953125,1386,0.0,0.0
